iter	MultiClass
0	1.076027514
1	1.058298745
2	1.040917329
3	1.028148632
4	1.015741438
5	1.004036011
6	0.993234252
7	0.9842068076
8	0.9760472487
9	0.9688401767
10	0.9634258
11	0.9575227211
12	0.9534642918
13	0.9482727951
14	0.9432625455
15	0.9389408554
16	0.9356563643
17	0.9321493111
18	0.9298944639
19	0.9272187721
20	0.9250986098
21	0.9223271086
22	0.9188841308
23	0.9164498871
24	0.9131456994
25	0.9115641253
26	0.9095132459
27	0.9073530634
28	0.9042797047
29	0.9017314719
30	0.9004409373
31	0.8990111546
32	0.8973806605
33	0.8955520729
34	0.8940371525
35	0.8921423545
36	0.8906563868
37	0.8896035575
38	0.887799758
39	0.8864072429
40	0.8851079923
41	0.883754388
42	0.8822650063
43	0.8810297444
44	0.8793023453
45	0.8785108995
46	0.8769960672
47	0.8754441588
48	0.8735255647
49	0.8728006112
50	0.8719279478
51	0.8709911273
52	0.8695654957
53	0.8685104852
54	0.8674475268
55	0.8661723062
56	0.8647111171
57	0.8636786896
58	0.8624580713
59	0.8608262769
60	0.8599189995
61	0.8592577379
62	0.8584907121
63	0.8575188723
64	0.8564313442
65	0.8558350677
66	0.8545474585
67	0.8537074933
68	0.8528535141
69	0.8519458756
70	0.8510812602
71	0.8502762666
72	0.8486895431
73	0.8473107089
74	0.8460856261
75	0.8451828877
76	0.8445608886
77	0.8430491061
78	0.842017061
79	0.8413887173
80	0.8405245298
81	0.8394939852
82	0.8385241243
83	0.8377703665
84	0.8365822252
85	0.8360479213
86	0.8353010869
87	0.8342382575
88	0.8333371089
89	0.8322245775
90	0.8316009295
91	0.8306460515
92	0.8298413522
93	0.8290071746
94	0.828419103
95	0.8277186753
96	0.8269349953
97	0.825687221
98	0.825020896
99	0.8237642651
100	0.8227784442
101	0.8219112844
102	0.8211260417
103	0.8201243897
104	0.8193821216
105	0.8184952653
106	0.8169142222
107	0.815905672
108	0.8147997197
109	0.8138416077
110	0.8129232298
111	0.8118644906
112	0.8109254218
113	0.8099870449
114	0.8090716358
115	0.8082177635
116	0.8075079866
117	0.8063233648
118	0.8054989781
119	0.8047718893
120	0.8040644668
121	0.8030613529
122	0.8022357897
123	0.8018141853
124	0.8008392838
125	0.8001896521
126	0.7996796302
127	0.7986994845
128	0.7978757935
129	0.7971593597
130	0.7962730677
131	0.7955653276
132	0.7952497556
133	0.7946143855
134	0.7939273721
135	0.7930956636
136	0.7923631704
137	0.7918230799
138	0.7909166222
139	0.7902540187
140	0.7896928638
141	0.7892183364
142	0.7883560926
143	0.7874367432
144	0.7867114697
145	0.7861893486
146	0.7855513975
147	0.7851367749
148	0.7845952733
149	0.7838335517
150	0.7828637915
151	0.7823613756
152	0.7816144266
153	0.7811578333
154	0.7805225737
155	0.7796732435
156	0.7791832822
157	0.7787435335
158	0.7782597229
159	0.7776081033
160	0.7766948355
161	0.77615403
162	0.7757392528
163	0.7751669526
164	0.7744360461
165	0.774115767
166	0.7735860849
167	0.7727786861
168	0.7722390266
169	0.7714589228
170	0.7706365551
171	0.7703074085
172	0.7698716942
173	0.769571538
174	0.7692310658
175	0.7688616904
176	0.7683270581
177	0.767699214
178	0.7671837256
179	0.7666271258
180	0.7658793181
181	0.7652158351
182	0.7646362089
183	0.7641514803
184	0.7637789983
185	0.763312354
186	0.7627731048
187	0.7624009109
188	0.761927768
189	0.7613958299
190	0.7608053536
191	0.7604828038
192	0.7601416126
193	0.7598549742
194	0.7591146428
195	0.7586675274
196	0.7584346732
197	0.7581318093
198	0.7577282519
199	0.757190058
200	0.7566329425
201	0.7563614354
202	0.7559816445
203	0.7556989275
204	0.7553078025
205	0.7549994353
206	0.7544929283
207	0.7539910192
208	0.753452371
209	0.7530146457
210	0.7525174218
211	0.7518917158
212	0.7514844929
213	0.7512138664
214	0.7504301574
215	0.7500698892
216	0.7496415273
217	0.7491772932
218	0.7485180312
219	0.748248096
220	0.747950514
221	0.7472285304
222	0.7468071955
223	0.7463975491
224	0.746162685
225	0.7456911118
226	0.7452109872
227	0.7449164688
228	0.744652025
229	0.7441874362
230	0.7437696561
231	0.7434232201
232	0.743173833
233	0.7429652758
234	0.7426126882
235	0.742216324
236	0.7416465665
237	0.7412152816
238	0.7407602629
239	0.7405731794
240	0.7401044229
241	0.7397765292
242	0.7394064552
243	0.7390428458
244	0.7387893232
245	0.7385914498
246	0.7383316258
247	0.7378535261
248	0.7376097373
249	0.7372065904
250	0.7368144889
251	0.7366125205
252	0.7361901931
253	0.735987289
254	0.7357424655
255	0.7350384556
256	0.7346589833
257	0.7343832228
258	0.7339797189
259	0.7337691552
260	0.7333575502
261	0.7332375092
262	0.7328717152
263	0.7324398502
264	0.732199062
265	0.7316434552
266	0.7312643772
267	0.730948698
268	0.7304419722
269	0.730052311
270	0.729657517
271	0.7293843544
272	0.7290230542
273	0.7287709807
274	0.7285628216
275	0.7282345988
276	0.728004622
277	0.7277688572
278	0.727103372
279	0.7267172167
280	0.7264446253
281	0.7261471025
282	0.7259436704
283	0.7256322751
284	0.7254424644
285	0.7249789069
286	0.7245819142
287	0.7242001838
288	0.7236653664
289	0.7232954254
290	0.7229258941
291	0.7227165366
292	0.7224658012
293	0.7221716342
294	0.7219344998
295	0.7216191185
296	0.7213995876
297	0.7211740607
298	0.7208867329
299	0.720538449
300	0.720328504
301	0.7198511533
302	0.7195228734
303	0.7192711075
304	0.7186940565
305	0.7184795471
306	0.7180535732
307	0.717738227
308	0.7175773552
309	0.7173578136
310	0.7171017723
311	0.7169358104
312	0.7168098668
313	0.7165477551
314	0.7161423553
315	0.7159239055
316	0.7156781723
317	0.7154946518
318	0.7152198002
319	0.7149895596
320	0.7147259087
321	0.7145170185
322	0.7141718652
323	0.7140038538
324	0.713904623
325	0.713678944
326	0.7131763624
327	0.7129393914
328	0.7127313998
329	0.7125815386
330	0.7122721788
331	0.7120803323
332	0.7118261317
333	0.7115152816
334	0.711198199
335	0.7110303814
336	0.7107257211
337	0.7103263906
338	0.7100252373
339	0.7096664954
340	0.709419831
341	0.7088282448
342	0.7086223088
343	0.7083432795
344	0.7080973591
345	0.7078239677
346	0.707668559
347	0.7073524299
348	0.7072300806
349	0.706769125
350	0.7065185829
351	0.7063035934
352	0.7061116072
353	0.7059188568
354	0.7057232028
355	0.7054729629
356	0.7052119849
357	0.7050279091
358	0.7048060716
359	0.7045776278
360	0.7043803155
361	0.7041759842
362	0.7039677894
363	0.7036833404
364	0.7034963174
365	0.7033833445
366	0.7032179069
367	0.7031448783
368	0.7030252433
369	0.7028076323
370	0.7024978129
371	0.7021724251
372	0.7020464189
373	0.7019525036
374	0.7018294108
375	0.7016303076
376	0.7012399268
377	0.7010157787
378	0.7008417861
379	0.7006168854
380	0.7004404486
381	0.7002863864
382	0.6997786327
383	0.6995650315
384	0.6993503041
385	0.6991605116
386	0.6988116615
387	0.6985342396
388	0.698313514
389	0.6980746754
390	0.6979596858
391	0.6973039165
392	0.6972359086
393	0.6970901739
394	0.696860541
395	0.6967026565
396	0.6964987976
397	0.6962661712
398	0.6956545434
399	0.6954759463
400	0.695205911
401	0.6948743893
402	0.6946881965
403	0.6945364276
404	0.6943318678
405	0.6940695093
406	0.6939345321
407	0.6938126025
408	0.6936165346
409	0.6933318647
410	0.6932610028
411	0.6929806038
412	0.6927474227
413	0.6926643304
414	0.6925477517
415	0.6924349003
416	0.6922325065
417	0.6921684902
418	0.6920223416
419	0.6918679482
420	0.6917750292
421	0.6916633488
422	0.6915502466
423	0.6914431194
424	0.6913161566
425	0.6911178878
426	0.6907407055
427	0.6904713702
428	0.6903977444
429	0.6901695107
430	0.6899278693
431	0.6897712861
432	0.6896240473
433	0.6894365823
434	0.689362297
435	0.6891969949
436	0.6890578294
437	0.688891421
438	0.6887866919
439	0.6885997672
440	0.6885129477
441	0.6883644602
442	0.6882022073
443	0.6879328165
444	0.687561386
445	0.6873474926
446	0.6870284246
447	0.6866960671
448	0.6864934583
449	0.6863764596
450	0.6862245965
451	0.6858746501
452	0.6857768976
453	0.6855922045
454	0.6855183495
455	0.6853975785
456	0.6852845802
457	0.6848734313
458	0.6847139839
459	0.6844322707
460	0.68415116
461	0.6840156164
462	0.6834685364
463	0.6833836057
464	0.6832200103
465	0.6831063463
466	0.6829440624
467	0.6826946696
468	0.6825476978
469	0.6823160488
470	0.6821811458
471	0.681976546
472	0.6817878412
473	0.6815639848
474	0.6813021523
475	0.6811000268
476	0.6808567021
477	0.6803208998
478	0.6801860282
479	0.6800401905
480	0.6799565621
481	0.679722506
482	0.6795582472
