iter	Passed	Remaining
0	74	74265
1	102	51034
2	155	51775
3	187	46640
4	243	48375
5	299	49568
6	333	47338
7	389	48336
8	444	48939
9	498	49371
10	538	48449
11	592	48823
12	647	49163
13	693	48814
14	733	48138
15	780	48003
16	813	47046
17	865	47200
18	907	46878
19	949	46516
20	997	46514
21	1046	46537
22	1085	46091
23	1132	46059
24	1164	45396
25	1216	45570
26	1244	44832
27	1293	44898
28	1337	44768
29	1373	44418
30	1420	44409
31	1451	43908
32	1498	43914
33	1528	43420
34	1578	43510
35	1624	43513
36	1661	43243
37	1710	43308
38	1741	42908
39	1792	43015
40	1823	42651
41	1872	42721
42	1900	42287
43	1950	42370
44	1995	42350
45	2029	42098
46	2078	42149
47	2125	42155
48	2158	41897
49	2204	41876
50	2249	41865
51	2296	41869
52	2327	41588
53	2377	41657
54	2427	41713
55	2459	41461
56	2510	41535
57	2560	41578
58	2592	41341
59	2645	41443
60	2673	41148
61	2728	41274
62	2771	41220
63	2809	41083
64	2861	41156
65	2889	40884
66	2942	40979
67	2990	40987
68	3022	40778
69	3071	40811
70	3114	40748
71	3151	40615
72	3202	40670
73	3249	40662
74	3287	40546
75	3334	40535
76	3365	40340
77	3417	40399
78	3465	40403
79	3499	40239
80	3551	40295
81	3596	40261
82	3630	40110
83	3682	40154
84	3729	40150
85	3763	39998
86	3816	40052
87	3861	40022
88	3897	39890
89	3947	39909
90	3976	39724
91	4028	39757
92	4075	39751
93	4109	39607
94	4163	39659
95	4190	39464
96	4242	39497
97	4287	39466
98	4321	39334
99	4371	39342
100	4416	39311
101	4453	39205
102	4501	39206
103	4545	39162
104	4582	39064
105	4637	39108
106	4681	39066
107	4715	38944
108	4763	38936
109	4793	38780
110	4842	38785
111	4887	38748
112	4921	38634
113	4971	38635
114	5016	38608
115	5053	38511
116	5101	38502
117	5133	38368
118	5178	38341
119	5222	38298
120	5260	38211
121	5305	38183
122	5350	38148
123	5386	38049
124	5431	38023
125	5477	37997
126	5513	37896
127	5563	37900
128	5608	37866
129	5646	37789
130	5696	37786
131	5739	37743
